Code,Name,Path,Level
42770,شوراي حل اختلاف شهرستان آذرشهر,دادگستري كل استان آذربايجان شرقي > حوزه قضايي شهرستان آذرشهر > شوراي حل اختلاف شهرستان آذرشهر,3
00100,حوزه قضايي شهرستان اسكو,دادگستري كل استان آذربايجان شرقي > حوزه قضايي شهرستان اسكو,2
42800,دادسراي عمومي و انقلاب شهرستان اسكو,دادگستري كل استان آذربايجان شرقي > حوزه قضايي شهرستان اسكو > دادسراي عمومي و انقلاب شهرستان اسكو,3
00367,دادگاه عمومي و انقلاب شهرستان اسكو,دادگستري كل استان آذربايجان شرقي > حوزه قضايي شهرستان اسكو > دادگاه عمومي و انقلاب شهرستان اسكو,3
65060,شوراي حل اختلاف شهرستان اسكو,دادگستري كل استان آذربايجان شرقي > حوزه قضايي شهرستان اسكو > شوراي حل اختلاف شهرستان اسكو,3
00090,حوزه قضايي شهرستان اهر,دادگستري كل استان آذربايجان شرقي > حوزه قضايي شهرستان اهر,2
42700,دادسراي عمومي و انقلاب شهرستان اهر,دادگستري كل استان آذربايجان شرقي > حوزه قضايي شهرستان اهر > دادسراي عمومي و انقلاب شهرستان اهر,3
00352,دادگاه عمومي و انقلاب شهرستان اهر,دادگستري كل استان آذربايجان شرقي > حوزه قضايي شهرستان اهر > دادگاه عمومي و انقلاب شهرستان اهر,3
45980,شوراي حل اختلاف شهرستان اهر,دادگستري كل استان آذربايجان شرقي > حوزه قضايي شهرستان اهر > شوراي حل اختلاف شهرستان اهر,3
00098,حوزه قضايي شهرستان بستان آباد,دادگستري كل استان آذربايجان شرقي > حوزه قضايي شهرستان بستان آباد,2
42850,دادسراي عمومي و انقلاب شهرستان بستان آباد,دادگستري كل استان آذربايجان شرقي > حوزه قضايي شهرستان بستان آباد > دادسراي عمومي و انقلاب شهرستان بستان آباد,3
00365,دادگاه عمومي و انقلاب شهرستان بستان آباد,دادگستري كل استان آذربايجان شرقي > حوزه قضايي شهرستان بستان آباد > دادگاه عمومي و انقلاب شهرستان بستان آباد,3
65430,شوراي حل اختلاف شهرستان بستان آباد,دادگستري كل استان آذربايجان شرقي > حوزه قضايي شهرستان بستان آباد > شوراي حل اختلاف شهرستان بستان آباد,3
00097,حوزه قضايي شهرستان بناب,دادگستري كل استان آذربايجان شرقي > حوزه قضايي شهرستان بناب,2
42900,دادسراي عمومي و انقلاب شهرستان بناب,دادگستري كل استان آذربايجان شرقي > حوزه قضايي شهرستان بناب > دادسراي عمومي و انقلاب شهرستان بناب,3
00363,دادگاه عمومي و انقلاب شهرستان بناب,دادگستري كل استان آذربايجان شرقي > حوزه قضايي شهرستان بناب > دادگاه عمومي و انقلاب شهرستان بناب,3
65130,شوراي حل اختلاف شهرستان بناب,دادگستري كل استان آذربايجان شرقي > حوزه قضايي شهرستان بناب > شوراي حل اختلاف شهرستان بناب,3
00085,حوزه قضايي شهرستان تبريز,دادگستري كل استان آذربايجان شرقي > حوزه قضايي شهرستان تبريز,2
41155,دادسراي عمومي و انقلاب شهرستان تبريز,دادگستري كل استان آذربايجان شرقي > حوزه قضايي شهرستان تبريز > دادسراي عمومي و انقلاب شهرستان تبريز,3
41174,مجتمع قضايي شهيد بهشتي تبريز (شعب دادسرا),دادگستري كل استان آذربايجان شرقي > حوزه قضايي شهرستان تبريز > دادسراي عمومي و انقلاب شهرستان تبريز > مجتمع قضايي شهيد بهشتي تبريز (شعب دادسرا),4
41156,مجتمع قضايي شهيد قاضي طباطبايي تبريز(شعب دادسرا),دادگستري كل استان آذربايجان شرقي > حوزه قضايي شهرستان تبريز > دادسراي عمومي و انقلاب شهرستان تبريز > مجتمع قضايي شهيد قاضي طباطبايي تبريز(شعب دادسرا),4
65020,مجتمع قضايي شهيد مدني شهرستان تبريز (شعب دادسرا),دادگستري كل استان آذربايجان شرقي > حوزه قضايي شهرستان تبريز > دادسراي عمومي و انقلاب شهرستان تبريز > مجتمع قضايي شهيد مدني شهرستان تبريز (شعب دادسرا),4
00193,دادگاه عمومي و انقلاب شهرستان تبريز,دادگستري كل استان آذربايجان شرقي > حوزه قضايي شهرستان تبريز > دادگاه عمومي و انقلاب شهرستان تبريز,3
41240,مجتمع دادگاههاي انقلاب اسلامي تبريز,دادگستري كل استان آذربايجان شرقي > حوزه قضايي شهرستان تبريز > دادگاه عمومي و انقلاب شهرستان تبريز > مجتمع دادگاههاي انقلاب اسلامي تبريز,4
41710,مجتمع قضايي امام خميني(ره) شهرستان تبريز (شعب دادگاههاي صلح),دادگستري كل استان آذربايجان شرقي > حوزه قضايي شهرستان تبريز > دادگاه عمومي و انقلاب شهرستان تبريز > مجتمع قضايي امام خميني(ره) شهرستان تبريز (شعب دادگاههاي صلح),4
